id;editora;data_lancamento;quantidade_exemplares;preco
1;in where ack;2025-01-25;17315;2062.01
2;gosh forenenst lifestyle;2025-01-24;13811;24447.81
3;crossly monasticism;2025-01-25;18177;16173.57
4;recovery qua unbearably;2025-01-24;13953;14356.47
5;astride;2025-01-24;13106;24953.52
6;grandiose inconsequential;2025-01-24;22523;3010.79
7;general incidentally;2025-01-24;6846;30707.9
8;croon doubter pfft;2025-01-25;25567;4483.72
9;physical minty for;2025-01-24;3113;13176.97
10;contravene if progress;2025-01-24;31385;31143.04
